1break;2breaks
2,80268;1,13883
-1,48797;1,71355
-1,1328;0,23343
-2,11659;1,23634
0,21428;0,38237
1,35769;0,79946
-2,57217;1,28103
2,3465;1,42841
-1,24612;-1,24017
2,55291;0,40342
0,88696;1,61
0,53583;0,4827
-1,54058;0,5374
2,94536;-1,92961
3,94477;-1,14413
-3,65627;0,36911
5,51234;0,53695
0,84199;-1,91767
1,15639;0,72102
-3,1494;0,69809
1,56262;0,87714
0,20174;0,20127
0,53997;1,10239
0,36288;0,39631
0,70395;-1,32214
0,31871;0,62836
0,50231;0,29076
0,62114;0,53997
0,63128;1,26416
-1,66216;0,29207
0,36217;1,6179
1,18341;0,25233
0,46248;0,92199
0,74283;0,76808
0,80917;-1,26445
0,88049;-2,16434
0,99102;2,27465
0,35681;0,96194
0,99215;0,97046
0,35311;0,14618
0,1413;0,51922
0,34623;-1,72313
0,45841;0,53972
0,29272;0,35969
0,47269;0,73295
1,8511;0,17702
0,67566;0,82414
0,23371;0,94283
0,50457;0,49923
0,28675;0,94897
0,54469;0,68
0,52359;0,72991
0,62958;0,70829
0,3859;0,75708
-1,94351;0,29285
1,61871;0,80306
2,20968;0,14446
0,13848;0,53934
-1,38513;0,38981
0,78229;0,66774
0,7667;1,30913
0,41786;-1,19156
1,37541;1,7531
0,98613;-1,1864
1,33544;0,60009
0,25623;1,85079
0,82251;0,57905
0,96249;0,16439
1,41844;0,98433
0,74501;1,1107
0,13915;0,15703
0,65212;0,46477
0,52852;0,69781
-1,52743;0,22999
0,4319;0,32142
-1,22089;0,10909
0,85409;0,57936
0,49163;0,42174
0,3495;0,32872
1,79393;0,70822
0,22963;0,92152
0,89743;0,4974
0,66986;0,8983
0,29342;0,20244
0,95431;0,35686
0,43857;1,8399
1,29738;-1,43189
0,42516;0,58213
0,53895;0,30488
0,3477;1,61481
0,95595;0,57603
0,59123;0,13275
0,95127;0,90946
0,57537;0,64888
0,52905;0,29027
-1,46271;0,40525
0,2453;1,33952
0,13616;0,99321
1,37383;-1,27325
0,91245;2,4411
0,38793;0,87525
0,66793;0,38563
0,12509;0,13056
0,29997;0,27882
0,96408;1,69368
0,26746;1,27981
0,42763;0,26048
0,76683;-1,71805
0,13061;1,3285
0,38246;0,56807
0,14068;0,73613
0,43949;0,67257
0,40841;0,69379
0,16277;0,90829
0,35876;0,81238
0,67914;1,28289
0,67002;-1,24515
0,29201;0,77747
0,37684;0,28732
0,58471;-1,15876
0,22197;2,45016
0,36225;1,23599
0,35732;1,48779
0,80468;0,95421
0,74352;0,72011
-1,8345;1,71975
0,87583;0,17882
0,36399;-1,72392
0,35271;-1,26968
0,85159;0,74225
0,32006;0,75359
0,29025;0,10422
0,1744;-1,26924
0,5118;0,52712
0,82553;2,17623
0,15078;-1,71498
0,74433;-2,3766
0,25354;3,73597
0,82579;-2,94632
0,53067;-1,26449
-1,29052;0,95285
0,48599;-1,14754
0,88185;0,86939
0,78783;0,14063
0,44209;0,88724
1,79306;2,41592
0,92649;1,96194
0,65063;0,88379
0,67558;0,52464
0,74248;0,5177
0,14154;-1,38782
0,81965;0,62792
0,36565;-1,23239
-1,2904;0,73785
-1,99406;-1,17277
-1,30294;0,76052
0,33077;0,32423
0,64172;-1,5035
0,63232;0,19776
0,25871;0,75413
0,42007;0,51933
0,31995;0,47474
-1,12662;0,38305
0,23609;1,32976
-1,11557;0,12556
0,41062;-1,37885
0,61746;0,91977
0,70843;0,64915
0,79643;0,36495
0,80706;-1,1245
0,35357;-2,15404
0,44624;-1,38272
0,73153;1,22697
0,92755;1,65415
0,46411;-1,64765
0,85527;3,58963
0,87226;0,85262
1,15294;-2,56626
0,38607;-1,44461
0,68113;0,96347
0,76004;0,73158
0,9993;1,80836
0,13292;-2,62083
0,28423;2,35997
0,93813;3,12852
0,58319;1,31233
0,25224;0,3341
0,65394;0,20107
0,24173;-1,77433
0,54212;0,29726
-1,13577;0,13101
0,82679;0,44261
0,86901;0,23519
-1,16889;0,8073
1,13303;0,77351
0,22375;0,1031
0,4139;1,51616
-1,72264;2,26051
1,63906;0,12232
-2,93413;0,21791
-1,7477;0,5878
1,78394;0,62471
0,64425;0,43412
0,33629;0,25399
0,77337;0,7499
0,48099;0,23275
0,38456;-1,15832
1,16314;0,30812
0,26359;0,40679
0,122;0,91186
-1,54051;0,75928
0,28851;0,29385
0,21992;1,21645
0,6288;0,13604
0,21256;-2,13132
-1,15351;0,46538
0,61211;0,15067
0,43309;0,4506
0,21305;0,67987
0,10522;1,4471
1,14541;1,12031
0,69075;0,81161
0,52745;0,13706
0,85075;0,48834
0,45599;0,68944
0,22885;0,8349
0,55689;0,51195
0,36849;1,58904
